player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kadarius Toney,61245,WR,CLV,1,1,1,0,0.0,0,0,-7,0,0,1,-4,-400.0,0,0,8,0,1,61.9,43.3,72.4,,,56.9,53.6,60.0,-7,0,0,0,2,3,0,0,0,1,0,-7,-4,-4.0,-7.0,0.0,0
Tyler Conklin,47124,TE,NYJ,11,1,0,0,,0,0,0,0,4,0,0,0.0,0,0,22,0,0,76.9,55.9,89.3,,76.9,59.2,60.0,40.8,0,1,252,29,349,187,0,0,40,30,0,0,0,0.0,0.0,0.72,0
Nick Mullens,12282,QB,MIN,3,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,18,0,0,66.1,76.9,69.9,75.5,,,60.0,60.0,0,0,0,0,0,3,0,0,0,1,0,0,0,0.0,0.0,,0
Jalen Reeves-Maybin,11879,LB,DET,2,1,1,0,0.0,0,0,1,0,0,1,3,300.0,0,0,11,0,0,61.9,53.5,65.7,,,56.8,56.0,,1,1,0,0,1,1,0,0,0,1,0,1,3,3.0,1.0,0.0,0
Dyami Brown,77986,WR,WAS,12,1,0,0,0.0,0,0,14,2,10,0,3,176.5,1,1,32,0,0,74.3,67.2,56.5,,66.3,67.1,63.1,59.0,14,3,171,16,156,130,0,0,21,17,0,14,3,3.0,14.0,1.1,0
Tutu Atwell,77965,WR,LA,11,1,0,0,0.0,0,0,7,2,0,0,2,0.0,0,0,26,0,0,77.2,73.2,53.9,59.7,,74.7,51.7,58.4,7,1,423,30,175,104,0,0,44,31,0,7,2,2.0,7.0,2.42,0
Laviska Shenault Jr.,61220,WR,SEA,9,1,1,0,0.0,0,0,1,0,1,1,2,66.7,0,0,29,0,0,26.3,54.8,0.0,,,61.6,56.6,47.7,1,1,36,5,21,21,0,0,5,6,0,1,2,2.0,1.0,1.71,0
Steven Sims,48341,WR,HST,4,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,13,0,0,84.3,50.4,71.9,,,55.5,56.6,60.0,0,0,0,0,6,3,0,0,0,1,0,0,2,2.0,0.0,0.0,0
Drew Sample,47259,TE,CIN,11,1,0,0,0.0,0,0,-4,0,2,0,0,0.0,0,0,7,1,0,19.2,45.6,87.7,,56.5,42.3,,49.0,-4,0,51,9,132,179,0,0,11,10,0,-4,0,0.0,-4.0,0.39,0
Chris Godwin,11839,WR,TB,7,1,0,0,0.0,0,0,2,0,9,0,-1,-17.6,0,1,30,1,0,38.3,86.3,85.8,,71.5,85.7,62.0,62.7,2,0,576,50,244,132,0,0,60,51,0,2,-1,-1.0,2.0,2.36,0
Ja'Lynn Polk,123153,WR,NE,11,1,0,0,,0,0,0,2,1,0,1,7.7,0,0,19,0,0,72.5,43.4,62.6,,74.3,46.2,56.5,31.3,0,4,87,12,226,136,0,0,29,13,0,0,1,1.0,0.0,0.38,0
Mark Andrews,47436,TE,BLT,12,1,0,0,0.0,0,0,2,1,3,0,1,7.9,0,1,3,0,0,78.3,81.1,69.9,,53.5,82.3,62.6,64.2,2,1,423,37,250,163,0,0,44,38,0,2,1,1.0,2.0,1.69,0
Cade Otton,61071,TE,TB,11,1,1,0,0.0,0,0,-4,6,10,1,3,64.7,0,0,30,2,0,24.4,61.8,69.3,,53.1,61.0,,63.0,-4,2,486,50,374,216,0,0,70,51,0,-4,3,3.0,-4.0,1.3,0
British Brooks,77714,HB,HST,2,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,13,0,0,61.9,56.5,71.6,,64.9,52.0,60.0,65.2,2,0,0,0,3,5,0,0,0,1,0,2,1,1.0,2.0,0.0,0
Trey McBride,75916,TE,ARZ,10,1,0,0,0.0,0,0,2,0,11,0,4,71.0,0,1,1,0,0,80.5,84.9,75.2,,68.3,88.1,63.8,61.1,2,2,685,61,290,218,0,0,76,62,1,2,4,4.0,2.0,2.36,0
