player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ahkello Witherspoon,11821,CB,LA,8,0,0,70.0,2,0,26,0,0,61.8,61.9,82.9,,58.3,31.3,0,0,0,0,53,26.7,4,1,3,117.7,14,0,0,29,242,165,274,2,0,0,2,0,0,272,0,109,1,5,11,0,20,0,1,195,52,13.9
Dawuane Smoot,11823,ED,BUF,7,3,0,,0,1,4,0,0,62.5,57.6,57.2,62.9,51.5,29.8,2,3,0,0,,33.3,4,0,1,0.0,0,2,0,0,0,3,213,213,10,36,133,34,0,0,135,75,0,6,5,2,0,7,0,0,0,
Chris Wormley,11829,DI,BLT,1,1,0,,0,0,3,0,0,,68.5,76.5,56.7,70.3,71.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,0,18,5,7,0,0,15,15,0,2,3,0,0,1,0,0,0,
Duke Riley,11830,LB,MIA,6,0,0,100.0,0,0,17,0,0,78.7,68.2,70.5,53.4,56.9,77.1,0,0,0,0,4,0.0,0,0,0,83.3,1,0,0,12,0,6,17,2,0,0,2,0,0,15,3,8,3,1,2,0,1,0,0,4,2,4.0
Alex Anzalone,11831,LB,DET,9,10,0,77.1,0,0,11,0,0,72.2,66.8,84.7,58.9,54.0,67.8,2,5,0,0,33,9.7,6,3,1,102.1,37,1,0,395,22,329,544,39,0,0,39,0,2,505,47,168,86,23,46,4,48,8,1,332,174,9.0
Fabian Moreau,11836,CB,MIN,1,0,0,,0,0,18,0,0,,60.7,87.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,
Shaquill Griffin,11845,CB,MIN,11,3,0,46.7,1,0,18,0,0,54.0,56.5,83.9,,75.8,69.8,0,0,0,1,33,8.7,2,2,2,74.0,14,0,0,19,288,272,320,1,0,0,1,0,0,319,0,48,12,7,18,0,30,0,2,178,60,12.7
Jourdan Lewis,11846,CB,DAL,10,14,0,71.8,1,1,9,1,0,79.3,70.3,84.0,46.3,42.2,56.9,0,0,0,0,86,13.2,7,2,2,108.2,28,0,0,62,73,285,499,14,0,0,14,0,4,485,13,201,346,15,32,1,39,0,2,273,198,9.8
John Johnson III,11847,S,LA,2,3,0,80.0,0,0,26,0,0,88.5,90.7,81.0,,68.8,62.5,0,0,0,1,18,11.1,1,0,0,52.1,4,0,0,20,0,38,59,0,0,0,0,0,29,59,0,21,10,1,5,0,5,0,0,30,12,7.5
Montravius Adams,11848,DI,PIT,7,1,0,,0,0,25,0,0,60.0,51.0,80.6,57.7,40.8,48.3,0,2,0,0,,14.3,1,0,0,0.0,0,1,0,0,0,0,108,108,29,77,0,2,0,0,73,35,0,3,5,0,0,3,0,0,0,
