player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Darious Williams,55724,CB,LA,3,1,0,80.0,0,0,26,0,0,64.8,63.8,81.9,,55.1,45.9,0,0,0,0,27,18.2,2,0,0,107.1,8,0,0,8,149,97,158,0,0,0,0,0,0,158,0,61,1,3,8,1,10,0,0,97,26,12.1
Ja'Marcus Ingram,55738,CB,BUF,6,2,0,66.7,0,0,4,0,0,63.6,69.1,0.0,92.7,74.7,56.4,0,1,1,2,24,16.7,1,2,1,75.3,8,1,0,6,0,75,90,5,0,0,5,0,2,85,3,12,77,2,3,0,12,2,1,85,59,10.6
Faion Hicks,55748,CB,SEA,2,0,0,,0,0,29,0,0,60.0,68.9,69.3,,67.1,74.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,3,1,14,0,0,0,0,0,0,14,0,13,5,0,2,0,0,0,0,0,0,
Xavier McKinney,55775,S,GB,8,7,0,58.3,0,0,12,1,0,89.7,89.8,45.3,80.5,71.8,73.0,0,2,0,6,33,8.1,3,1,1,50.3,7,1,0,160,1,312,510,23,0,0,23,0,301,487,5,193,25,5,27,1,12,3,0,113,49,16.1
Montaric Brown,55797,CB,JAX,8,9,0,71.7,0,0,15,0,0,62.5,65.8,85.2,,73.9,73.3,0,0,0,0,45,7.7,4,2,3,107.9,33,0,0,37,387,272,437,5,0,0,5,0,0,432,0,165,8,18,39,5,46,0,2,348,115,10.5
Kamren Curl,55800,S,LA,7,8,1,86.7,0,0,26,1,1,47.5,57.0,82.4,78.4,72.2,74.3,0,5,0,0,66,11.4,5,1,2,158.3,13,0,0,143,0,220,433,17,0,0,17,0,233,416,14,199,40,8,31,0,15,5,3,227,117,17.5
Arron Mosby,55908,ED,GB,1,0,0,,0,0,12,0,0,,59.8,69.0,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Eric Stokes,55912,CB,GB,8,3,0,64.7,0,0,12,0,0,47.8,50.6,82.9,,63.4,72.8,0,0,0,0,31,8.0,2,0,1,108.5,22,0,0,32,267,205,309,3,0,0,3,0,0,306,0,104,7,3,20,0,34,0,2,268,87,12.2
Ameer Speed,55918,CB,CHI,1,0,0,,0,0,6,0,0,61.5,63.3,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,2,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,
Grant Stuard,55933,LB,IND,2,6,0,75.0,0,0,14,0,0,52.4,56.4,71.4,56.3,62.9,57.7,0,0,0,0,18,11.1,2,0,0,95.3,6,0,0,79,1,43,95,2,0,0,2,0,1,93,3,49,12,5,10,0,8,0,0,59,45,9.8
Bryan Cook,55940,S,KC,7,8,0,57.9,0,0,16,0,0,51.4,56.8,86.0,57.9,74.1,69.0,0,0,0,1,38,10.0,4,0,0,77.1,11,0,0,111,1,275,418,7,0,0,7,0,242,411,1,142,57,5,28,0,19,0,1,142,45,12.9
Nate Hobbs,55948,CB,LV,8,5,0,65.7,0,0,23,0,0,62.6,62.6,83.6,49.3,63.9,48.7,1,2,0,1,35,17.8,8,3,0,100.2,23,0,0,87,100,249,454,24,0,0,24,0,2,430,21,184,241,14,32,2,35,3,3,224,145,9.7
Tony Adams,55953,S,NYJ,7,14,0,72.7,0,0,22,0,0,75.9,72.9,82.5,58.4,58.6,60.3,0,1,0,0,29,13.2,7,5,2,107.4,8,1,0,206,2,228,417,8,0,0,8,0,151,409,10,179,50,12,32,2,11,2,0,118,27,14.8
Geno Stone,55967,S,CIN,8,10,0,76.2,0,0,7,0,0,46.2,47.3,87.6,56.2,53.3,58.3,2,1,0,1,15,15.1,8,1,0,102.9,16,0,0,109,3,304,542,23,0,0,23,0,387,519,10,228,20,4,35,0,21,3,2,128,72,8.0
Markquese Bell,56033,S,DAL,5,0,0,,0,0,9,0,0,62.6,47.5,0.0,,54.5,30.0,0,0,0,0,,33.3,1,0,1,0.0,0,0,0,10,0,5,26,5,0,0,5,0,10,21,0,21,1,2,2,0,0,0,0,0,0,
Mike Brown,56054,S,TEN,2,1,0,100.0,0,0,31,0,0,39.3,34.3,69.4,,,71.4,0,0,0,0,25,0.0,0,0,0,118.8,1,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,25,3,25.0
Benjamin St-Juste,56061,CB,WAS,8,2,0,64.6,0,1,32,0,0,56.9,55.1,86.0,,43.9,55.9,0,0,0,0,31,10.5,4,7,3,109.7,31,0,0,16,425,267,460,2,0,0,2,0,0,458,0,193,17,3,32,0,48,0,3,380,113,12.3
Reed Blankenship,56065,S,PHI,7,6,0,85.0,0,0,24,0,0,70.9,73.7,84.0,,70.8,62.2,0,0,0,2,21,13.0,6,2,1,62.5,17,0,0,95,1,240,381,0,0,0,0,0,262,381,0,141,23,8,34,0,20,0,0,170,77,10.0
Ty Okada,56089,S,SEA,1,0,0,,0,0,29,0,0,60.0,62.6,68.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,6,0,0,0,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,
Damarri Mathis,56143,CB,DEN,2,0,0,0.0,0,0,10,0,0,74.4,74.8,73.3,,60.4,72.8,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,0,11,11,13,0,0,0,0,0,0,13,0,2,1,0,1,0,2,0,0,0,0,
Jason Pinnock,56144,S,NYG,8,8,0,81.8,1,0,21,0,0,52.0,57.1,87.5,91.0,57.4,40.9,0,2,0,0,29,20.9,9,1,2,109.5,9,3,0,89,0,281,471,9,0,0,9,0,332,462,11,179,41,7,26,0,11,5,0,113,25,12.6
Tre Avery,56146,CB,TEN,1,0,0,,0,0,31,0,0,60.0,61.1,64.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Marte Mapu,56159,S,NE,4,8,0,80.0,0,0,19,0,0,59.9,58.6,82.2,85.6,51.1,52.3,0,0,0,0,17,18.2,4,2,0,98.1,12,1,0,133,7,125,259,14,0,0,14,0,67,245,5,129,37,5,10,0,15,1,0,113,63,9.4
Keisean Nixon,56167,CB,GB,8,9,0,65.7,0,1,12,0,0,55.4,60.3,43.7,93.0,63.8,55.8,1,1,0,0,27,15.0,6,3,3,111.4,23,2,0,55,201,289,460,1,0,0,1,0,2,459,8,163,201,12,25,1,35,4,3,218,53,9.5
Christian Braswell,56207,CB,JAX,2,0,0,100.0,0,0,15,0,0,74.9,71.4,74.0,,51.6,84.2,0,0,0,0,10,0.0,0,0,0,93.8,4,0,0,5,1,30,42,0,0,0,0,0,0,42,0,12,36,1,3,0,4,0,0,26,38,6.5
Quentin Lake,56245,S,LA,7,14,0,60.9,0,0,26,0,0,56.0,60.4,84.4,65.8,67.2,66.5,1,0,0,0,36,12.1,7,0,2,90.9,14,1,0,106,0,237,446,13,0,0,13,0,193,433,4,205,134,11,37,0,23,2,0,210,72,15.0
Darnay Holmes,56247,CB,LV,2,1,0,66.7,0,0,23,0,0,38.0,48.9,73.6,55.7,76.3,26.7,0,0,0,0,11,50.0,1,0,0,77.1,2,0,0,1,0,8,16,1,0,0,1,0,0,15,3,5,14,0,0,0,3,0,0,14,4,7.0
Jaylon Johnson,56259,CB,CHI,7,2,0,52.2,0,0,6,0,0,75.9,77.1,86.1,,74.0,52.5,0,0,0,2,44,18.2,4,2,0,35.8,12,0,0,8,399,262,426,13,0,0,13,0,2,413,0,164,4,8,16,3,23,0,0,146,40,12.2
Elijah Molden,56290,S,LAC,7,8,0,77.8,0,0,27,1,0,83.2,87.8,82.4,59.7,77.3,81.4,0,0,0,2,18,4.0,1,0,0,54.9,7,0,0,24,1,195,276,0,0,0,0,0,235,276,1,80,16,6,16,0,9,0,0,60,25,8.6
Devon Key,56307,S,DEN,5,4,0,50.0,0,0,10,0,0,50.9,55.3,80.3,68.8,69.7,84.6,0,0,0,0,23,0.0,0,0,0,111.1,3,1,0,20,4,61,91,2,0,0,2,0,57,89,2,28,8,1,2,0,6,1,1,40,13,13.3
Jose Ramirez,56323,ED,TB,1,0,0,,0,0,30,0,0,,32.6,0.0,50.2,60.0,,0,1,0,0,,,0,0,1,0.0,0,0,0,0,0,0,14,14,0,0,13,1,0,0,13,1,0,0,0,0,0,1,0,0,0,
Victor Dimukeje,56347,ED,ARZ,4,1,0,0.0,0,1,1,0,0,94.0,91.4,77.7,71.3,66.4,74.9,3,0,0,0,,0.0,0,0,0,39.6,0,0,0,2,0,4,44,41,0,0,41,0,0,3,14,26,1,2,3,1,1,3,0,0,0,
Zach Carter,56349,DI,LV,4,3,0,,0,0,23,0,0,60.0,44.3,42.7,49.6,49.4,55.3,0,1,0,0,,10.0,1,0,1,0.0,0,1,0,0,0,0,151,151,6,130,4,11,0,0,80,71,0,5,6,0,0,2,0,0,0,
A.J. Epenesa,56369,ED,BUF,8,3,0,100.0,0,1,4,0,0,49.4,58.4,68.1,55.1,66.4,68.0,5,4,0,0,28,8.3,1,1,1,118.8,1,4,0,0,1,8,309,307,0,5,278,24,1,2,193,108,0,11,8,0,1,13,0,28,24,28.0
Andre Jones Jr.,56395,ED,WAS,2,0,0,,0,0,32,0,0,60.0,39.3,77.0,52.7,42.2,69.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,17,17,0,0,17,0,0,0,7,9,0,1,1,0,0,0,0,0,0,
Neil Farrell Jr.,56401,DI,MIA,1,0,0,,0,0,17,0,0,,30.1,0.0,55.5,52.3,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,11,11,2,9,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,
Earnest Brown IV,56428,DI,TB,2,0,0,,0,0,30,0,0,,49.9,75.4,53.0,53.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,0,3,8,7,0,0,7,11,0,0,0,0,0,0,0,0,0,
Chase Young,56436,ED,NO,8,2,1,,0,0,20,0,0,78.3,56.3,52.8,59.2,49.2,61.3,8,19,0,0,,11.8,2,0,2,0.0,0,3,0,1,0,11,375,373,0,4,337,32,0,2,251,113,1,12,13,3,0,30,0,0,0,
Yetur Gross-Matos,56444,ED,SF,3,0,0,,0,0,28,0,0,,55.9,82.1,59.9,49.9,69.2,1,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,81,81,0,3,63,15,0,0,50,31,0,0,1,0,0,5,0,0,0,
Patrick Johnson,56460,ED,NYG,3,1,0,,0,0,21,0,0,,37.2,76.1,61.1,35.2,24.8,1,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,18,18,0,0,18,0,0,0,8,10,0,0,0,0,0,1,0,0,0,
LaBryan Ray,56501,DI,CAR,7,4,0,,0,0,5,0,0,,41.5,84.5,48.5,42.2,75.8,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,279,278,0,174,11,93,0,1,121,158,0,10,14,0,0,3,0,0,0,
Phidarian Mathis,56504,DI,WAS,8,4,1,,0,0,32,0,0,62.7,40.5,46.6,53.5,38.8,73.4,0,4,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,169,169,21,138,0,10,0,0,86,83,0,5,6,2,0,4,0,0,0,
D.J. Davidson,56523,DI,NYG,8,6,0,,0,0,21,0,0,60.7,45.2,50.3,64.4,40.8,42.3,0,4,0,0,,11.8,2,0,1,0.0,0,2,0,0,0,1,179,179,48,112,0,19,0,0,76,102,0,8,9,0,0,6,0,0,0,
T.J. Slaton,56597,DI,GB,8,8,0,,0,0,12,0,0,60.0,40.1,53.2,60.3,38.8,29.4,2,6,0,0,,17.6,3,0,1,0.0,0,0,0,0,0,0,198,198,25,162,0,11,0,0,89,109,0,5,6,0,0,8,0,0,0,
Malik Herring,56616,ED,KC,7,1,0,100.0,0,0,16,0,0,61.1,64.8,83.0,58.2,64.8,75.5,2,2,0,0,7,0.0,0,0,0,95.8,1,0,0,0,0,2,86,86,0,7,69,10,0,0,43,41,0,4,6,1,1,4,0,7,3,7.0
Payton Turner,56624,ED,NO,7,2,2,,0,1,20,0,0,60.0,65.3,43.6,71.5,56.1,28.9,0,3,0,0,,33.3,2,0,1,0.0,0,1,0,0,0,0,129,129,1,3,98,27,0,0,75,54,0,3,2,0,0,4,0,0,0,
Mike Greene,56664,DI,TB,3,1,0,,0,0,30,0,0,,59.4,77.9,54.9,62.3,68.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,58,58,0,34,3,21,0,0,33,25,0,1,1,0,0,0,0,0,0,
Quinton Bohanna,56673,DI,SEA,1,0,0,,0,0,29,0,0,,65.9,71.9,60.0,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,3,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,
Milton Williams,56682,DI,PHI,7,1,0,,0,0,24,0,0,60.3,68.7,82.6,79.9,51.0,59.8,0,6,0,0,,11.1,1,0,0,0.0,0,3,0,1,0,1,201,200,5,154,10,31,0,1,113,87,0,6,7,2,0,9,0,0,0,
DJ Johnson,56704,ED,CAR,8,9,1,100.0,1,0,5,0,0,62.4,53.1,31.4,54.0,56.9,65.0,0,0,0,0,3,7.4,2,0,2,118.8,1,1,0,3,0,16,247,240,0,0,239,1,0,7,86,145,4,11,16,0,1,1,1,3,1,3.0
Kwity Paye,56713,ED,IND,6,2,0,,0,0,14,0,0,71.4,59.9,88.1,57.7,54.3,52.7,3,10,0,0,,7.1,1,0,0,0.0,0,2,0,2,1,4,288,285,0,2,281,2,0,3,161,123,0,11,11,2,0,15,0,0,0,
Jordan Elliott,56734,DI,SF,7,2,0,,0,0,28,0,0,62.2,60.3,48.0,51.5,66.0,56.6,1,2,0,0,,9.1,1,0,1,0.0,0,0,0,0,0,0,176,175,16,142,0,17,0,1,91,85,0,5,8,0,0,3,0,0,0,
Jordon Riley,56759,DI,NYG,6,0,0,,0,0,21,0,0,,54.8,78.3,64.8,52.2,69.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,35,35,29,6,0,0,0,0,11,24,0,4,4,1,0,1,0,0,0,
Kurt Hinish,56787,DI,HST,2,1,0,,0,0,13,0,0,,54.1,76.0,59.2,53.3,28.4,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,27,27,1,24,0,2,0,0,13,14,0,1,1,0,0,0,0,0,0,
Isaiah Thomas,56798,ED,DET,1,2,0,100.0,0,0,11,1,0,72.2,68.0,80.1,60.9,59.3,72.6,0,1,0,0,0,0.0,0,0,0,79.2,1,0,0,0,0,2,38,38,0,0,38,0,0,0,16,20,0,1,1,0,1,1,0,0,1,0.0
Javon Kinlaw,56834,DI,NYJ,8,3,0,,0,0,22,0,0,59.6,51.2,21.8,64.7,47.8,55.7,2,12,0,0,,9.1,2,0,3,0.0,0,2,0,0,0,1,297,297,5,141,4,147,0,0,168,128,0,16,17,1,0,16,0,0,0,
Kingsley Jonathan,56856,ED,BUF,1,0,0,,0,0,4,0,0,,65.2,70.6,64.2,60.0,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,6,1,0,0,0,0,0,1,0,0,0,
Arnold Ebiketie,56862,ED,ATL,8,3,1,50.0,0,0,2,0,0,75.5,71.6,82.9,65.2,64.3,71.1,4,9,0,0,4,5.9,1,0,0,56.3,1,0,0,0,0,23,238,237,0,1,234,2,0,1,138,77,1,7,13,1,2,13,0,4,1,4.0
Ta'Quon Graham,56868,DI,ATL,8,2,0,,1,0,2,0,0,60.0,64.7,82.1,57.7,66.2,56.8,0,4,0,0,,10.0,1,0,1,0.0,0,0,0,0,0,1,166,166,6,112,3,45,0,0,94,71,0,6,7,0,0,4,0,0,0,
Micheal Clemons,56872,ED,NYJ,8,1,0,,0,0,22,0,0,60.3,53.2,70.5,56.6,50.8,64.8,3,11,0,0,,9.1,1,0,1,0.0,0,3,0,3,0,1,314,311,0,4,293,14,0,3,179,134,0,9,9,0,0,17,0,0,0,
Jayden Peevy,56876,DI,CAR,4,2,1,,0,1,5,0,0,59.5,67.7,79.2,72.1,56.5,72.0,2,1,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,1,84,84,1,44,8,31,0,0,52,31,0,4,3,0,0,5,0,0,0,
Jaelan Phillips,56902,ED,MIA,4,2,1,66.7,0,0,17,0,0,60.4,66.1,40.4,65.2,67.5,33.2,1,5,0,0,9,28.6,2,0,1,74.3,2,1,0,2,0,18,134,130,0,0,128,2,0,4,66,50,2,3,3,0,3,7,0,12,16,6.0
Jay Tufele,56913,DI,CIN,5,4,0,,0,0,7,0,0,60.0,44.7,81.9,55.5,45.0,29.7,0,2,0,0,,25.0,3,0,0,0.0,0,1,0,0,0,0,146,146,24,117,0,5,0,0,67,79,0,3,5,1,0,3,0,0,0,
Dayo Odeyingbo,56923,ED,IND,8,1,0,,0,0,14,1,0,74.1,67.3,71.5,65.8,58.1,37.5,7,10,0,0,,21.4,3,0,1,0.0,0,4,0,1,1,1,356,354,5,18,282,49,0,2,213,142,0,12,10,3,0,21,0,0,0,
DeAngelo Malone,56941,ED,ATL,1,0,0,,0,0,2,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Jordan Jackson,56957,DI,DEN,8,5,0,,0,0,10,0,0,60.0,52.9,45.4,59.2,52.5,56.1,0,6,0,0,,10.0,1,0,1,0.0,0,0,0,1,0,0,164,163,0,59,14,90,0,1,80,84,0,3,4,0,0,6,0,0,0,
James Lynch,56962,DI,TEN,7,3,0,,0,0,31,0,0,59.7,51.5,79.9,54.8,52.0,73.0,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,82,82,0,57,10,15,0,0,43,38,0,2,3,1,0,2,0,0,0,
Brandon Pili,57036,DI,MIA,7,0,0,,0,0,17,0,0,,62.5,79.0,57.4,62.1,68.7,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,59,59,12,43,1,3,0,0,16,43,0,2,2,0,0,1,0,0,0,
Troy Andersen,57317,LB,ATL,4,14,0,86.7,0,0,2,0,0,67.5,67.0,81.6,49.6,65.7,76.2,0,1,1,1,18,6.4,3,0,0,63.3,13,0,0,215,0,106,229,7,0,0,7,0,0,222,23,100,7,11,30,1,15,1,0,88,56,6.8
Raheem Blackshear,57385,HB,CAR,1,0,0,,0,0,5,0,0,60.7,82.6,67.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jack Gibbens,57662,LB,TEN,5,4,0,100.0,0,0,31,0,0,69.7,75.5,77.1,53.7,74.1,66.4,1,0,0,0,24,7.7,1,0,0,110.4,4,0,0,88,1,48,95,3,0,0,3,0,0,92,4,43,3,4,8,0,4,1,0,42,36,10.5
D'Marco Jackson,57691,LB,NO,3,4,0,100.0,0,0,20,0,0,60.7,61.1,79.3,52.3,62.5,80.3,0,0,0,0,10,0.0,0,0,0,97.9,2,0,0,25,0,26,66,39,0,0,39,0,0,27,8,32,2,2,3,0,2,0,0,15,9,7.5
Tony Fields II,57698,LB,CLV,1,1,0,,0,0,8,0,0,64.2,74.4,70.3,59.4,71.7,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,11,0,5,14,2,0,0,2,0,0,12,1,8,1,1,1,0,0,0,0,0,0,
Jon Rhattigan,57718,LB,CAR,1,0,0,,0,0,5,0,0,60.7,82.6,67.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Chandler Wooten,57726,LB,CAR,2,2,0,100.0,0,0,5,0,0,70.5,59.6,73.9,66.3,50.3,30.0,0,0,0,0,3,33.3,3,0,0,79.2,1,0,0,55,0,16,59,0,0,0,0,0,0,59,3,40,4,1,4,0,1,0,0,3,0,3.0
K.J. Britt,57727,LB,TB,8,13,0,83.3,0,0,30,0,0,32.3,37.7,2.3,65.5,54.3,43.8,1,5,0,0,32,16.7,10,0,2,119.8,20,1,0,422,0,239,436,6,0,0,6,0,0,430,33,164,8,14,37,0,24,7,1,226,146,11.3
Jalen Pitre,57737,CB,HST,8,8,0,66.7,0,0,13,0,0,68.3,69.2,47.4,54.3,75.0,50.6,1,2,0,1,69,17.8,8,4,3,107.6,22,0,0,153,0,261,470,22,0,0,22,0,4,448,37,172,291,15,29,3,33,3,3,256,117,11.6
Terrel Bernard,57739,LB,BUF,5,5,0,66.7,0,0,4,1,0,49.6,59.1,81.1,59.7,71.2,60.9,1,2,0,1,25,13.5,5,0,0,63.4,12,0,0,250,0,144,261,2,0,0,2,0,2,259,18,99,7,18,27,3,18,3,0,125,52,10.4
Isaiah McDuffie,57754,LB,GB,8,17,0,78.8,0,0,12,0,0,53.7,53.8,81.0,53.6,55.9,42.3,2,2,0,0,29,17.2,10,2,0,117.6,26,0,0,289,0,196,371,34,0,0,34,0,2,337,17,158,46,11,31,0,33,4,2,243,168,9.3
Baylon Spector,57782,LB,BUF,6,8,0,75.0,0,0,4,1,0,43.8,40.0,80.7,62.2,41.8,41.1,1,0,0,0,26,18.9,7,0,0,97.3,15,1,0,218,4,145,246,7,0,0,7,0,6,239,8,93,11,6,22,1,20,2,0,157,92,10.5
Nate Landman,57788,LB,ATL,4,13,0,90.9,0,3,2,0,0,85.8,84.6,8.8,58.5,74.3,70.4,0,1,0,0,18,5.9,2,0,1,129.9,10,0,0,190,0,116,204,7,0,0,7,0,2,197,7,81,5,7,19,1,11,1,1,87,90,8.7
Ventrell Miller,57809,LB,JAX,8,11,0,84.0,0,1,15,0,0,38.8,52.4,79.6,58.3,70.9,37.7,0,2,0,0,28,20.3,12,1,1,100.7,21,0,0,252,2,147,278,6,0,0,6,0,0,272,8,123,18,23,36,3,25,2,0,204,99,9.7
James Houston,57810,ED,DET,4,0,0,,1,0,11,0,0,60.0,40.7,0.0,53.0,62.3,35.4,1,3,0,0,,33.3,1,0,2,0.0,0,0,0,0,0,1,45,45,0,0,45,0,0,0,37,7,0,1,2,0,0,4,0,0,0,
Mykal Walker,57834,LB,WAS,6,6,0,100.0,0,0,32,0,0,43.8,57.3,72.4,58.4,66.2,80.9,0,0,0,0,18,0.0,0,0,0,118.8,1,0,0,32,0,7,40,6,0,0,6,0,0,34,1,32,2,1,2,0,1,0,0,18,6,18.0
Robert Beal Jr.,57840,ED,SF,8,2,0,,0,0,28,0,0,61.5,55.9,82.1,55.1,55.4,72.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,64,0,0,1,30,32,0,0,1,0,0,1,0,0,0,
Jake Hummel,57879,LB,LA,1,0,0,100.0,0,0,26,0,0,38.6,37.5,71.0,,61.9,71.7,0,0,0,0,25,0.0,0,0,0,118.8,1,0,0,10,0,6,10,0,0,0,0,0,0,10,0,4,0,0,1,0,1,0,0,25,23,25.0
Isaac Ukwu,57888,ED,DET,2,1,0,,0,0,11,0,0,67.7,59.6,82.6,53.5,57.9,72.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,70,70,0,0,70,0,0,0,47,22,0,1,2,0,0,1,0,0,0,
Jamin Davis,57905,ED,WAS,5,2,0,100.0,0,0,32,0,0,65.9,71.2,82.7,49.8,79.0,78.1,0,1,0,0,6,0.0,0,0,0,91.7,1,0,0,1,0,7,86,85,0,2,83,0,0,1,37,42,0,7,10,1,1,1,0,6,3,6.0
Josh Paschal,57908,ED,DET,6,1,0,100.0,0,0,11,0,0,65.3,58.0,58.4,53.4,64.4,57.0,2,5,0,0,3,12.5,1,0,1,79.2,1,1,0,1,0,3,199,196,0,9,160,27,2,3,148,48,0,6,6,1,1,8,0,3,4,3.0
Patrick Queen,57941,LB,PIT,8,18,1,84.8,0,0,25,0,0,54.1,50.9,83.4,81.1,41.7,49.6,3,1,0,0,22,16.9,11,1,0,102.0,28,0,0,432,8,288,496,8,0,0,8,0,7,488,28,180,41,10,36,1,33,4,0,280,150,10.0
K'Lavon Chaisson,57945,ED,LV,6,2,0,100.0,0,0,23,0,0,43.9,58.1,50.6,60.6,73.8,29.8,2,5,0,0,5,31.3,5,0,3,83.3,3,1,0,0,0,12,147,147,0,0,142,5,0,0,101,34,0,7,9,0,3,8,0,12,16,4.0
J.J. Russell,57958,LB,TB,4,0,0,100.0,0,0,30,0,0,51.5,51.3,71.6,58.7,61.7,77.7,0,0,0,0,6,0.0,0,0,1,121.5,3,0,0,12,0,12,18,1,0,0,1,0,0,17,2,4,4,2,3,0,3,0,1,11,12,3.7
Willie Gay,57987,LB,NO,7,1,0,64.3,0,1,20,2,0,37.9,44.4,82.2,52.4,58.2,58.5,0,2,0,0,55,14.3,2,1,0,115.8,9,1,0,98,0,81,178,68,0,0,68,0,0,110,16,81,12,6,11,1,14,3,1,122,126,13.6
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,10,1,81.8,0,1,8,0,0,52.3,80.6,83.1,77.0,91.7,29.2,1,9,0,1,28,21.5,14,1,0,91.7,18,3,0,345,5,207,460,84,0,0,84,0,5,376,57,196,21,26,41,7,22,13,0,232,132,12.9
Pete Werner,58093,LB,NO,5,5,0,87.5,0,0,20,0,0,65.3,65.0,81.7,50.7,64.3,70.5,0,1,0,0,16,6.5,2,0,0,87.5,14,0,0,231,4,164,283,25,0,0,25,0,0,258,20,99,23,10,24,2,16,1,0,80,67,5.7
Baron Browning,58095,ED,DEN,4,2,0,50.0,0,0,10,0,0,48.9,65.9,3.3,69.5,72.6,75.6,0,5,0,0,12,0.0,0,0,2,68.8,1,0,0,1,0,8,122,120,0,0,120,0,0,2,75,39,1,3,3,2,2,5,0,12,15,12.0
Kenneth Murray Jr.,58099,LB,TEN,7,11,0,92.0,0,0,31,0,0,49.5,43.3,83.6,68.7,36.1,65.5,0,3,0,0,30,10.0,5,0,1,140.4,23,2,0,319,4,187,394,37,0,0,37,0,0,357,36,171,34,18,34,3,25,5,4,205,107,8.9
Derrick Barnes,58120,LB,DET,3,2,1,50.0,0,0,11,0,0,66.6,71.8,82.4,57.7,77.2,71.0,0,1,0,0,1,15.4,2,0,0,56.3,1,0,0,34,0,49,120,63,0,0,63,0,0,57,30,41,23,5,9,0,2,1,0,1,4,1.0
Buddy Johnson,58189,LB,DAL,1,0,0,,0,0,9,0,0,,64.8,65.9,,61.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,
Devin Lloyd,58238,LB,JAX,7,13,0,83.3,0,1,15,0,0,64.1,75.9,39.8,64.5,88.3,90.3,1,2,0,0,31,2.2,1,1,1,138.7,20,1,0,311,0,217,374,25,0,0,25,0,1,349,15,142,37,13,32,3,24,4,3,187,133,9.4
